ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
2530702150300577,105732052794210,Democratic Unionist Party,"Digital infrastructure is vital to our economy and to tackling the UK's productivity problem. The DUP secured £150million for broadband in Northern Ireland. 

On top of that - we support:
🌐 Full fibre networks for the UK. 
📶 5G network rollout. 

Vote for a party with a 12-point plan to get Northern Ireland moving again. On 12th December, Vote DUP.",mydup.com,,www.mydup.com,2019-11-29T18:23:12+0000,2019-12-04T18:22:54+0000,Democratic Unionist Party,0,999,0,99,https://www.facebook.com/ads/library/?id=2530702150300577
1052112738473084,375618536172475,Cllr Sam Nicholson,"📣LETS MAKE CHANGE TOGETHER!📣

🔴Say no to a border in the Irish Sea
🔴Say no to the Boris/DUP Brexit Deal

 🔵We want to reform Stormont and make it work for everyone!
🔵We've had enough of political scandals 
🔵Vote for project hope, not fear!

❎Vote NICHOLSON on December 12th!❎",,,,2019-11-29T11:23:46+0000,2019-12-03T11:23:34+0000,Mr Gareth Ryan Hampton,0,999,0,99,https://www.facebook.com/ads/library/?id=1052112738473084
561771974599501,105732052794210,Democratic Unionist Party,"🙋‍♀️🙋‍♂️You did it! 🙋‍♀️🙋‍♂️
By voting DUP in 2017 you delivered over £1.5 billion for Northern Ireland.  Make your vote count on 12th December. Vote DUP to get Northern Ireland moving again.",www.mydup.com,,Your vote can deliver for Northern Ireland,2019-11-28T19:15:53+0000,2019-12-09T19:15:41+0000,Democratic Unionist Party,8000,8999,0,99,https://www.facebook.com/ads/library/?id=561771974599501
718424775311531,735585959871494,East Antrim Sinn Féin,"The DUP have ignored and dismissed the very real concerns people have with Brexit.

Sinn Féin have stood against them.

We have used our influence where it matters.

https://www.sinnfein.ie/contents/55464",,,,2019-11-27T21:18:29+0000,2019-12-01T21:18:15+0000,Ciaran William Oconnor,0,999,0,99,https://www.facebook.com/ads/library/?id=718424775311531
1006080849725922,105732052794210,Democratic Unionist Party,"The DUP is a pro-life party.   
On December 12th vote for a party that chooses life.",,,,2019-11-27T17:00:43+0000,2019-12-02T17:00:43+0000,Democratic Unionist Party,25000,29999,100,199,https://www.facebook.com/ads/library/?id=1006080849725922
2198258700479233,105732052794210,Democratic Unionist Party,"Hard-working health staff have been forced to take strike action because there is no Assembly and no Minister to take decisions.

Vote DUP to restore the Assembly immediately - and deliver for our health service.",www.mydup.com,,Restore the Assembly to deliver for Health Staff,2019-11-26T19:25:47+0000,2019-12-02T19:25:30+0000,Democratic Unionist Party,15000,19999,100,199,https://www.facebook.com/ads/library/?id=2198258700479233
598381490920785,1935868476637300,Colum Eastwood,Thank you all who engaged with team SDLP today. We know people are frustrated with the failure of the DUP and Sinn Fein to restore government. A vote for the SDLP in this election is a vote to demand delivery and send a clear message to them that we want politicians back to work. #VoteEastwoodX #DerryDeservesDelivery,,,,2019-11-24T16:23:35+0000,2019-11-29T16:23:21+0000,Colum Eastwood,8000,8999,0,99,https://www.facebook.com/ads/library/?id=598381490920785
785511771909632,1935868476637300,Colum Eastwood,"Super Sunday selfie from the campaign trail with some of the team. People are telling us they are frustrated with the failure of the DUP and Sinn Fein to restore Stormont. People here want politicians back to work. 

Help us send that message to send politicians back to work by voting SDLP 12th December. Enough is enough - Derry deserves delivery.",,,,2019-11-24T14:42:22+0000,2019-11-29T14:42:10+0000,Colum Eastwood,4000,4999,0,99,https://www.facebook.com/ads/library/?id=785511771909632
2727176920846006,1935868476637300,Colum Eastwood,"Brexit isn’t an issue for one community - it affects all of us. People in Derry - across the North - voted to remain in the European Union. The DUP have misrepresented us - they have silenced our voices and sidelined our interests. We need a voice for remain - I want to be that voice for all people across the Foyle constituency.

Watch more on this from me on #bbctheview 👇",,,,2019-11-24T09:57:17+0000,2019-11-29T09:57:05+0000,Colum Eastwood,3000,3999,0,99,https://www.facebook.com/ads/library/?id=2727176920846006
2421982304691282,105732052794210,Democratic Unionist Party,The DUP is the only party with a positive plan to get Northern Ireland moving again.  Vote DUP on 12th December.,www.mydup.com,,The DUP has a positive plan for NI,2019-11-24T09:00:00+0000,2019-12-01T09:00:00+0000,Democratic Unionist Party,25000,29999,200,299,https://www.facebook.com/ads/library/?id=2421982304691282
430773694238299,138824582821033,Ursus,"Duminica asta, se iese din casă în ordinea priorităților.",,,"Întâi vot, dup-aia bere",2019-11-22T14:53:17+0000,2019-11-24T19:00:07+0000,,20000,24999,0,99,https://www.facebook.com/ads/library/?id=430773694238299
633374893863918,105732052794210,Democratic Unionist Party,"The DUP's plan to get Northern Ireland moving again includes proposals for action to protect our animals. 

Download our plan at www.mydup.com",www.mydup.com,,,2019-11-22T11:15:05+0000,2019-11-27T12:09:05+0000,Democratic Unionist Party,15000,19999,200,299,https://www.facebook.com/ads/library/?id=633374893863918
958150397882607,1935868476637300,Colum Eastwood,"Just had a meeting with Resource Centre Derry with Mark Durkan and Nichola Mallon about impacts of Welfare reform. 

DUP, Sinn Féin & Alliance all voted to hand that power back to the Tories. In March, thousands face hardship, we want to be in the Assembly to fight against cuts.

#DerryDeservesDelivery #EnoughIsEnough

Vote Eastwood ❌ Vote SDLP",,,,2019-11-21T22:12:53+0000,2019-11-26T22:12:41+0000,Colum Eastwood,10000,14999,0,99,https://www.facebook.com/ads/library/?id=958150397882607
586370428836116,1935868476637300,Colum Eastwood,"Speaking to nurses and health sector workers it's clear they're overworked and underpaid. This is total disgrace.

The failure of the DUP and Sinn Féin to restore the Assembly is preventing delivery of fair pay.

Send a message to send politicians back to work.
Vote Eastwood ❌ on 12th Dec.
#DerryDeservesDelivery #EnoughIsEnough",,,,2019-11-21T22:12:07+0000,2019-11-26T22:11:55+0000,Colum Eastwood,0,999,0,99,https://www.facebook.com/ads/library/?id=586370428836116
546404979243824,105732052794210,Democratic Unionist Party,"A vote for the DUP is a vote to get Northern Ireland moving again - on health, education and the issues that matter to you.",www.mydup.com,,Vote to get NI moving again,2019-11-21T16:32:39+0000,2019-11-28T16:32:21+0000,Democratic Unionist Party,30000,34999,200,299,https://www.facebook.com/ads/library/?id=546404979243824
711044099385134,106711940790613,Steve Aiken for East Antrim,"New Ulster Unionist Party leader Steve Aiken standing in East Antrim 

New Ulster Unionist Party Leader Dr Steve Aiken OBE MLA has been nominated as his party’s candidate for the General Election in East Antrim.

The 57-year-old, who lives in the constituency, served 31 years in the Royal Navy during which time he commanded nuclear submarines, was made an OBE and was awarded the US Meritorious Service Medal for his military service in the Middle East.   Since his retirement from the Service Steve has been a CEO, before becoming an MLA for neighbouring South Antrim in 2016. 

Steve said:
“It is an enormous privilege to be selected to be the Ulster Unionist candidate in the forthcoming Westminster election.  As well as living in the constituency, I have strong connections with East Antrim - having been educated at Belfast High School, learned to sail at Carrickfergus Sailing Club, with strong family connections to Carrick, and believe strongly it is time that we have a change in who represents us at Westminster.

“We need to give East Antrim the chance to elect an MP who will put the Union first, fight Boris Johnson’s withdrawal deal and stand up for all the people of East Antrim; regardless of religion, identity, gender or class.

“I am standing in East Antrim because I believe in leading from the front.  I want to challenge the sitting MP on policy- and be in no doubt that it was his and the DUP’s reckless policy which has led to the current mess where the rest of the UK is set to leave the EU with Northern Ireland left behind in a constitutional limbo.

“Never has a General Election been more important.  With the outcome so uncertain, it is essential that East Antrim returns an MP who will fight to stop Boris’s Withdrawal Deal, - who won’t succumb to the folly of putting a border down the Irish Sea, who will not vote to cap Nurses pay and who will enact legislation to fight the climate emergency-rather than deny its very existence.  

“The Ulster Unionist Party voted, on balance, to remain in the referendum. As a democratic party we recognised the result of that referendum.  However, as a unionist party, right now with Boris Johnson’s withdrawal deal being the only one on the table, we have to recognise a clear fact – if the Conservatives’ deal goes through, Northern Ireland will, well and truly, become a ‘place apart’.

“I offer pro-Union voters a choice.  A choice between an Ulster Unionist candidate who will offer a positive, progressive vision for unionism, protecting our place within the United Kingdom and the sitting DUP MP who has dropped the ball, allowing a border to be put up the Irish Sea and whose party has dragged the reputation of unionism into the gutter.

“What drives me is doing what’s best for my constituents, and trying to make Northern Ireland work again.  We can only do that by changing who represents us at Parliament, and I’m asking the people of East Antrim to come out and vote for me on the 12th December as the only person who can make that change happen.”

John Stewart Roy Beggs Keith James Turner Maureen Morrow Andrew Wilson Steve Aiken OBE MLA",,,,2019-11-21T15:59:13+0000,2019-11-22T15:58:59+0000,James Hugh Carson,0,999,0,99,https://www.facebook.com/ads/library/?id=711044099385134
766716003792628,782447081914612,Paul Girvan for South Antrim,The DUP is committed to high standards of Animal Care. There are a number of areas where the DUP wants to see further legislative and policy action ⬇️⬇️⬇️,,,,2019-11-21T11:25:27+0000,2019-11-26T11:25:12+0000,William Paul Girvan,3000,3999,0,99,https://www.facebook.com/ads/library/?id=766716003792628
2759873360700572,452923031759010,Elisha McCallion MP,"Sinn Féin MPs made sure your voice was heard on Brexit where it counts - in Brussels, Dublin and Washington. We said there would be no hardening of the border, no unionist veto and that we woud protect the Good Friday Agreement. I will continue to stand up for Ireland's interests   against Tory/DUP Brexiteers. That's my pledge to you the people of Derry.",,,Making your voice heard where it matters on Brexit,2019-11-20T23:08:26+0000,2019-11-24T23:08:06+0000,Sinn Féin Ireland,10000,14999,0,99,https://www.facebook.com/ads/library/?id=2759873360700572
758430511342321,105732052794210,Democratic Unionist Party,"In three weeks time you can help get Northern Ireland moving again. Elect DUP MPs who will go to Westminster, to turn up and speak up for you.",,,MPs who will turn up and speak up for you,2019-11-20T18:49:11+0000,2019-11-25T18:49:00+0000,Democratic Unionist Party,25000,29999,200,299,https://www.facebook.com/ads/library/?id=758430511342321
3174462875913870,1935868476637300,Colum Eastwood,"For over 50 years Derry has been discriminated against because of the lack of a full size university.

We had 10 years of the DUP and Sinn Fein running a Government who still didn’t invest properly in our university.

This is our chance to invest in Derry, to get a medical school and expand Magee. That won’t happen without politicians getting back to work.

Send a message in this election - send politicians back to work and demand delivery for Derry. #VoteSDLP #VoteEastwoodX",,,,2019-11-20T13:24:26+0000,2019-11-25T13:24:14+0000,Colum Eastwood,6000,6999,0,99,https://www.facebook.com/ads/library/?id=3174462875913870
2579807895671184,105732052794210,Democratic Unionist Party,📺Watch Nigel Dodds talking about the DUP's 12 point plan to get NI moving again.📺,,,,2019-11-20T10:13:33+0000,2019-11-24T10:00:59+0000,Democratic Unionist Party,6000,6999,0,99,https://www.facebook.com/ads/library/?id=2579807895671184
2203090866667084,1935868476637300,Colum Eastwood,"For three years, the democratic decision taken by people in Northern Ireland to reject a border on this island, to maintain the free and frictionless relationship we enjoy with Europe and to sustain our fragile peace has been wilfully ignored by successive Tory governments and by the DUP.

The coming election is an opportunity to reject the politics of division and deadlock and defend our interests.

Register to vote by 26th November to have your voice heard. https://www.gov.uk/register-to-vote",,,,2019-11-20T00:21:07+0000,2019-11-25T00:20:57+0000,Colum Eastwood,1000,1999,0,99,https://www.facebook.com/ads/library/?id=2203090866667084
2333705703404932,1935868476637300,Colum Eastwood,"SDLP supports the nurses decision to strike as our health sector workers deserve fair pay. Failure of the DUP & Sinn Féin to restore the Assembly is preventing delivery of fair pay. 

Send a message to send politicians back to work. 
Vote Eastwood on 12th December ❌",,,,2019-11-20T00:20:55+0000,2019-11-25T00:20:42+0000,Colum Eastwood,0,999,0,99,https://www.facebook.com/ads/library/?id=2333705703404932
1153103714892043,669323733273130,Cllr. Séamas De Faoite,"If they win this election, the Tory/DUP coalition will continue to force through their privatisation of our NHS and open it up to Donald Trump’s sinister agenda of greed.

A vote for Claire Hanna on December 12th is a vote to #SaveOurNHS.",,,,2019-11-19T20:43:48+0000,2019-11-22T20:43:30+0000,Seamas de Faoite,3000,3999,0,99,https://www.facebook.com/ads/library/?id=1153103714892043
