ad_id,age,gender,percentage
2530702150300577,25-34,male,0.117978
2530702150300577,55-64,male,0.191011
2530702150300577,65+,male,0.123596
2530702150300577,55-64,female,0.05618
2530702150300577,45-54,male,0.162921
2530702150300577,35-44,female,0.033708
2530702150300577,35-44,male,0.151685
2530702150300577,18-24,male,0.016854
2530702150300577,45-54,female,0.016854
2530702150300577,65+,female,0.117978
2530702150300577,55-64,unknown,0.005618
2530702150300577,25-34,female,0.005618
2530702150300577,45-54,unknown,0
2530702150300577,35-44,unknown,0
2530702150300577,25-34,unknown,0
2530702150300577,18-24,unknown,0
2530702150300577,18-24,female,0
2530702150300577,65+,unknown,0
1052112738473084,25-34,male,0.142857
1052112738473084,35-44,male,0.238095
1052112738473084,55-64,male,0.174603
1052112738473084,55-64,female,0.063492
1052112738473084,45-54,male,0.111111
1052112738473084,65+,female,0.015873
1052112738473084,45-54,female,0.031746
1052112738473084,18-24,female,0.047619
1052112738473084,25-34,female,0.015873
1052112738473084,55-64,unknown,0.015873
1052112738473084,18-24,male,0.047619
1052112738473084,35-44,female,0.079365
1052112738473084,65+,male,0.015873
1052112738473084,45-54,unknown,0
1052112738473084,35-44,unknown,0
1052112738473084,25-34,unknown,0
1052112738473084,18-24,unknown,0
1052112738473084,65+,unknown,0
561771974599501,55-64,female,0.205124
561771974599501,45-54,female,0.156809
561771974599501,18-24,female,0.111589
561771974599501,35-44,female,0.150619
561771974599501,65+,female,0.212517
561771974599501,25-34,female,0.163343
561771974599501,55-64,unknown,0
561771974599501,25-34,male,0
561771974599501,45-54,unknown,0
561771974599501,35-44,unknown,0
561771974599501,18-24,male,0
561771974599501,65+,male,0
561771974599501,25-34,unknown,0
561771974599501,45-54,male,0
561771974599501,18-24,unknown,0
561771974599501,55-64,male,0
561771974599501,35-44,male,0
561771974599501,65+,unknown,0
718424775311531,18-24,male,0.782258
718424775311531,25-34,male,0.116935
718424775311531,18-24,unknown,0.020161
718424775311531,18-24,female,0.072581
718424775311531,25-34,female,0.008065
718424775311531,55-64,unknown,0
718424775311531,35-44,female,0
718424775311531,45-54,female,0
718424775311531,35-44,unknown,0
718424775311531,45-54,unknown,0
718424775311531,65+,male,0
718424775311531,55-64,female,0
718424775311531,25-34,unknown,0
718424775311531,65+,female,0
718424775311531,45-54,male,0
718424775311531,55-64,male,0
718424775311531,35-44,male,0
718424775311531,65+,unknown,0
1006080849725922,55-64,female,0.064407
1006080849725922,65+,unknown,0.001207
1006080849725922,25-34,unknown,0.001207
1006080849725922,55-64,unknown,0.001149
1006080849725922,35-44,unknown,0.002413
1006080849725922,45-54,male,0.098363
1006080849725922,18-24,unknown,0.000747
1006080849725922,55-64,male,0.065671
1006080849725922,65+,male,0.039874
1006080849725922,45-54,female,0.080954
1006080849725922,18-24,female,0.073887
1006080849725922,35-44,female,0.089227
1006080849725922,25-34,male,0.137489
1006080849725922,18-24,male,0.092675
1006080849725922,25-34,female,0.101982
1006080849725922,35-44,male,0.105487
1006080849725922,65+,female,0.04108
1006080849725922,45-54,unknown,0.002183
2198258700479233,65+,female,0.131825
2198258700479233,25-34,male,0.069492
2198258700479233,18-24,unknown,0.000191
2198258700479233,55-64,unknown,0.001623
2198258700479233,35-44,unknown,0.001527
2198258700479233,18-24,female,0.015846
2198258700479233,25-34,female,0.03866
2198258700479233,55-64,male,0.10147
2198258700479233,35-44,female,0.067583
2198258700479233,45-54,unknown,0.002005
2198258700479233,45-54,female,0.112447
2198258700479233,65+,unknown,0.000668
2198258700479233,45-54,male,0.103188
2198258700479233,65+,male,0.079611
2198258700479233,18-24,male,0.035605
2198258700479233,55-64,female,0.149962
2198258700479233,35-44,male,0.088011
2198258700479233,25-34,unknown,0.000286
598381490920785,45-54,female,0.063613
598381490920785,25-34,male,0.178435
598381490920785,18-24,male,0.122933
598381490920785,55-64,male,0.084765
598381490920785,35-44,male,0.148537
598381490920785,45-54,male,0.122933
598381490920785,18-24,female,0.065363
598381490920785,55-64,female,0.076495
598381490920785,25-34,female,0.061069
598381490920785,35-44,female,0.068225
598381490920785,45-54,unknown,0.00159
598381490920785,35-44,unknown,0.003658
598381490920785,25-34,unknown,0.001272
598381490920785,55-64,unknown,0.001113
598381490920785,65+,male,0
598381490920785,18-24,unknown,0
598381490920785,65+,unknown,0
598381490920785,65+,female,0
785511771909632,45-54,female,0.128707
785511771909632,35-44,male,0.145426
785511771909632,25-34,male,0.169716
785511771909632,45-54,male,0.155521
785511771909632,35-44,female,0.071293
785511771909632,55-64,female,0.102839
785511771909632,55-64,male,0.085174
785511771909632,25-34,female,0.054259
785511771909632,35-44,unknown,0.003785
785511771909632,18-24,male,0.066246
785511771909632,18-24,female,0.011672
785511771909632,45-54,unknown,0.001893
785511771909632,25-34,unknown,0.001893
785511771909632,55-64,unknown,0.001577
785511771909632,65+,male,0
785511771909632,18-24,unknown,0
785511771909632,65+,unknown,0
785511771909632,65+,female,0
2727176920846006,55-64,female,0.09641
2727176920846006,55-64,male,0.134328
2727176920846006,25-34,male,0.212182
2727176920846006,45-54,male,0.159338
2727176920846006,35-44,male,0.166196
2727176920846006,45-54,female,0.061718
2727176920846006,35-44,female,0.042356
2727176920846006,18-24,male,0.058088
2727176920846006,35-44,unknown,0.004841
2727176920846006,25-34,female,0.050424
2727176920846006,18-24,unknown,0.000807
2727176920846006,18-24,female,0.008068
2727176920846006,25-34,unknown,0.00121
2727176920846006,55-64,unknown,0.002017
2727176920846006,45-54,unknown,0.002017
2727176920846006,65+,male,0
2727176920846006,65+,unknown,0
2727176920846006,65+,female,0
2421982304691282,18-24,male,0.10435
2421982304691282,55-64,female,0.05689
2421982304691282,35-44,unknown,0.002137
2421982304691282,45-54,unknown,0.002263
2421982304691282,65+,unknown,0.001634
